Axiom,Reason,Depth,Width,Groups of Diagnosis,Size
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RibosomalDNA> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,28
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RibosomalDNA> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,20
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RibosomalDNA> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,32
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RibosomalDNA> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,24
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TBoxDomain> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TBoxDomain> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TBoxDomain> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TBoxDomain> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TranscriptionRepressorActivity> <http://www.bootstrep.eu/ontology/GRO#NonPhysicalContinuant>),G,-1,-1,4,-1
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TranscriptionRepressorActivity> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"G,S",-1,-1,4,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Promoter> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Promoter> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Promoter> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#bHSHTF> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#bHSHTF> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),"D,S",6,-1,-1,26
