Axiom,Reason,Depth,Width,Groups of Diagnosis,Size
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Tonofilament> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Tonofilament> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Melanocyte> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,5,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Melanocyte> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,4,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#CatagenHairFollicle> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,7,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#CatagenHairFollicle> <http://www.ifomis.org/snap#IndependentContinuant>),G,-1,-1,4,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#CatagenHairFollicle> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,6,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#ElasticFibre> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#ElasticFibre> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#PapillaryLayerOfDermis> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#PapillaryLayerOfDermis> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#MammaryGland> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Gland>),S,-1,-1,-1,34
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#MammaryGland> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,6,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#MammaryGland> <http://www.ifomis.org/snap#IndependentContinuant>),G,-1,-1,4,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#MammaryGland> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MerocrineGland>),"D,S",7,-1,-1,50
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#MammaryGland> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,5,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MeissnerCorpuscle> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Mechanoreceptor>),"D,S",6,-1,-1,35
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MeissnerCorpuscle> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,6,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MeissnerCorpuscle> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#SensoryReceptor>),S,-1,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MeissnerCorpuscle> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,5,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#ReticularLamina> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#ReticularLamina> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Phagosome> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Phagosome> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#PhagolysosomeFormation> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#TelogenHairFollicle> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,7,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#TelogenHairFollicle> <http://www.ifomis.org/snap#IndependentContinuant>),G,-1,-1,4,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#TelogenHairFollicle> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,6,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#CellToMatrixAdhesionFunction> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_I_Collagen> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",8,-1,-1,34
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_I_Collagen> <http://www.ifomis.org/snap#IndependentContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_I_Collagen> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#PhysicalObject>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_I_Collagen> <http://www.ifomis.org/snap#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Capillary> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Actin> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Actin> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Sebum> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Collective>),"D,S",6,-1,-1,34
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Milk> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Lipidsecretion> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#PhysiologicalProcess>),S,-1,-1,-1,20
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Lipidsecretion> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",7,-1,-1,28
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Lipidsecretion> <http://www.ifomis.org/span#Occurrent>),"D,S",6,-1,-1,24
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#ReceptorMediatedEndocytosisFunction> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#LipidsecretionFunction> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#LipidsecretionFunction> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#IntercellularMatrixOfEndothelium> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#ApocrineGland> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Gland>),"D,S",6,-1,-1,41
